PROVINCE_NAME,PROVINCE_CODE
Soya,11
Kamikawa,12
Rumoi,13
Ishikari,14
Sorachi,15
Shiribeshi,16
"Abashiri, Kitami, Mombetsu",17
Nemuro,18
Kushiro,19
Tokachi,20
Iburi,21
Hidaka,22
Oshima,23
Hiyama,24
Aomori,31
Akita,32
Iwate,33
Miyagi,34
Yamagata,35
Fukushima,36
Ibaraki,40
Tochigi,41
Gunma,42
Saitama,43
Tokyo,44
Chiba,45
Kanagawa,46
Nagano,48
Yamanashi,49
Shizuoka,50
Aichi,51
Gifu,52
Mie,53
Niigata,54
Toyama,55
Ishikawa,56
Fukui,57
Shiga,60
Kyoto,61
Osaka,62
Hyogo,63
Nara,64
Wakayama,65
Okayama,66
Hiroshima,67
Shimane,68
Tottori,69
Tokushima,71
Kagawa,72
Ehime,73
Kochi,74
Yamaguchi,81
Fukuoka,82
Oita,83
Nagasaki,84
Saga,85
Kumamoto,86
Miyazaki,87
Kagoshima,88
Okinawa,91
Antarctica,99
